Available Spaces,Precipitation,WindSpeed,DayOfWeek,MinutesPastMidnight,CarparkCodeInt,WeekdayWeekend,TimeOfDay
439,0.0,22.3,0,86,3,1,0
712,0.0,22.3,0,86,4,1,0
458,0.0,22.3,0,86,5,1,0
307,0.0,22.3,0,91,0,1,0
49,0.0,22.3,0,91,1,1,0
337,0.0,22.3,0,91,2,1,0
439,0.0,22.3,0,91,3,1,0
712,0.0,22.3,0,91,4,1,0
458,0.0,22.3,0,91,5,1,0
307,0.0,22.3,0,96,0,1,0
49,0.0,22.3,0,96,1,1,0
337,0.0,22.3,0,96,2,1,0
439,0.0,22.3,0,96,3,1,0
712,0.0,22.3,0,96,4,1,0
458,0.0,22.3,0,96,5,1,0
307,0.0,22.3,0,101,0,1,0
49,0.0,22.3,0,101,1,1,0
337,0.0,22.3,0,101,2,1,0
439,0.0,22.3,0,101,3,1,0
712,0.0,22.3,0,101,4,1,0
458,0.0,22.3,0,101,5,1,0
307,0.0,22.3,0,106,0,1,0
49,0.0,22.3,0,106,1,1,0
337,0.0,22.3,0,106,2,1,0
439,0.0,22.3,0,106,3,1,0
712,0.0,22.3,0,106,4,1,0
458,0.0,22.3,0,106,5,1,0
307,0.0,22.3,0,111,0,1,0
49,0.0,22.3,0,111,1,1,0
337,0.0,22.3,0,111,2,1,0
439,0.0,22.3,0,111,3,1,0
712,0.0,22.3,0,111,4,1,0
458,0.0,22.3,0,111,5,1,0
307,0.0,22.3,0,116,0,1,0
49,0.0,22.3,0,116,1,1,0
337,0.0,22.3,0,116,2,1,0
439,0.0,22.3,0,116,3,1,0
712,0.0,22.3,0,116,4,1,0
458,0.0,22.3,0,116,5,1,0
307,0.0,22.3,0,121,0,1,0
49,0.0,22.3,0,121,1,1,0
337,0.0,22.3,0,121,2,1,0
439,0.0,22.3,0,121,3,1,0
712,0.0,22.3,0,121,4,1,0
458,0.0,22.3,0,121,5,1,0
307,0.0,22.3,0,126,0,1,0
49,0.0,22.3,0,126,1,1,0
337,0.0,22.3,0,126,2,1,0
439,0.0,22.3,0,126,3,1,0
712,0.0,22.3,0,126,4,1,0
458,0.0,22.3,0,126,5,1,0
307,0.0,22.3,0,131,0,1,0
49,0.0,22.3,0,131,1,1,0
337,0.0,22.3,0,131,2,1,0
439,0.0,22.3,0,131,3,1,0
712,0.0,22.3,0,131,4,1,0
458,0.0,22.3,0,131,5,1,0
307,0.0,22.3,0,136,0,1,0
49,0.0,22.3,0,136,1,1,0
337,0.0,22.3,0,136,2,1,0
439,0.0,22.3,0,136,3,1,0
712,0.0,22.3,0,136,4,1,0
458,0.0,22.3,0,136,5,1,0
307,0.0,22.3,0,141,0,1,0
49,0.0,22.3,0,141,1,1,0
337,0.0,22.3,0,141,2,1,0
439,0.0,22.3,0,141,3,1,0
712,0.0,22.3,0,141,4,1,0
458,0.0,22.3,0,141,5,1,0
307,0.0,22.3,0,146,0,1,0
49,0.0,22.3,0,146,1,1,0
337,0.0,22.3,0,146,2,1,0
439,0.0,22.3,0,146,3,1,0
712,0.0,22.3,0,146,4,1,0
458,0.0,22.3,0,146,5,1,0
307,0.0,22.3,0,151,0,1,0
49,0.0,22.3,0,151,1,1,0
337,0.0,22.3,0,151,2,1,0
439,0.0,22.3,0,151,3,1,0
712,0.0,22.3,0,151,4,1,0
458,0.0,22.3,0,151,5,1,0
307,0.0,22.3,0,156,0,1,0
49,0.0,22.3,0,156,1,1,0
337,0.0,22.3,0,156,2,1,0
439,0.0,22.3,0,156,3,1,0
712,0.0,22.3,0,156,4,1,0
458,0.0,22.3,0,156,5,1,0
307,0.0,22.3,0,161,0,1,0
49,0.0,22.3,0,161,1,1,0
337,0.0,22.3,0,161,2,1,0
438,0.0,22.3,0,161,3,1,0
711,0.0,22.3,0,161,4,1,0
458,0.0,22.3,0,161,5,1,0
307,0.0,22.3,0,166,0,1,0
49,0.0,22.3,0,166,1,1,0
337,0.0,22.3,0,166,2,1,0
438,0.0,22.3,0,166,3,1,0
711,0.0,22.3,0,166,4,1,0
458,0.0,22.3,0,166,5,1,0
307,0.0,22.3,0,171,0,1,0
49,0.0,22.3,0,171,1,1,0
337,0.0,22.3,0,171,2,1,0
438,0.0,22.3,0,171,3,1,0
711,0.0,22.3,0,171,4,1,0
458,0.0,22.3,0,171,5,1,0
307,0.0,22.3,0,176,0,1,0
49,0.0,22.3,0,176,1,1,0
337,0.0,22.3,0,176,2,1,0
438,0.0,22.3,0,176,3,1,0
711,0.0,22.3,0,176,4,1,0
458,0.0,22.3,0,176,5,1,0
307,0.0,22.3,0,181,0,1,0
49,0.0,22.3,0,181,1,1,0
337,0.0,22.3,0,181,2,1,0
438,0.0,22.3,0,181,3,1,0
711,0.0,22.3,0,181,4,1,0
458,0.0,22.3,0,181,5,1,0
309,0.0,22.3,0,186,0,1,0
49,0.0,22.3,0,186,1,1,0
337,0.0,22.3,0,186,2,1,0
438,0.0,22.3,0,186,3,1,0
711,0.0,22.3,0,186,4,1,0
458,0.0,22.3,0,186,5,1,0
310,0.0,22.3,0,191,0,1,0
49,0.0,22.3,0,191,1,1,0
337,0.0,22.3,0,191,2,1,0
438,0.0,22.3,0,191,3,1,0
711,0.0,22.3,0,191,4,1,0
458,0.0,22.3,0,191,5,1,0
310,0.0,22.3,0,196,0,1,0
49,0.0,22.3,0,196,1,1,0
337,0.0,22.3,0,196,2,1,0
438,0.0,22.3,0,196,3,1,0
711,0.0,22.3,0,196,4,1,0
458,0.0,22.3,0,196,5,1,0
311,0.0,22.3,0,201,0,1,0
49,0.0,22.3,0,201,1,1,0
337,0.0,22.3,0,201,2,1,0
438,0.0,22.3,0,201,3,1,0
711,0.0,22.3,0,201,4,1,0
458,0.0,22.3,0,201,5,1,0
311,0.0,22.3,0,206,0,1,0
50,0.0,22.3,0,206,1,1,0
337,0.0,22.3,0,206,2,1,0
438,0.0,22.3,0,206,3,1,0
711,0.0,22.3,0,206,4,1,0
458,0.0,22.3,0,206,5,1,0
311,0.0,22.3,0,211,0,1,0
50,0.0,22.3,0,211,1,1,0
337,0.0,22.3,0,211,2,1,0
438,0.0,22.3,0,211,3,1,0
711,0.0,22.3,0,211,4,1,0
458,0.0,22.3,0,211,5,1,0
311,0.0,22.3,0,216,0,1,0
50,0.0,22.3,0,216,1,1,0
337,0.0,22.3,0,216,2,1,0
438,0.0,22.3,0,216,3,1,0
711,0.0,22.3,0,216,4,1,0
458,0.0,22.3,0,216,5,1,0
311,0.0,22.3,0,221,0,1,0
50,0.0,22.3,0,221,1,1,0
337,0.0,22.3,0,221,2,1,0
438,0.0,22.3,0,221,3,1,0
711,0.0,22.3,0,221,4,1,0
458,0.0,22.3,0,221,5,1,0
311,0.0,22.3,0,226,0,1,0
50,0.0,22.3,0,226,1,1,0
337,0.0,22.3,0,226,2,1,0
438,0.0,22.3,0,226,3,1,0
711,0.0,22.3,0,226,4,1,0
458,0.0,22.3,0,226,5,1,0
311,0.0,22.3,0,231,0,1,0
50,0.0,22.3,0,231,1,1,0
338,0.0,22.3,0,231,2,1,0
438,0.0,22.3,0,231,3,1,0
712,0.0,22.3,0,231,4,1,0
458,0.0,22.3,0,231,5,1,0
311,0.0,22.3,0,236,0,1,0
50,0.0,22.3,0,236,1,1,0
338,0.0,22.3,0,236,2,1,0
438,0.0,22.3,0,236,3,1,0
712,0.0,22.3,0,236,4,1,0
458,0.0,22.3,0,236,5,1,0
312,0.0,24.1,0,241,0,1,0
50,0.0,24.1,0,241,1,1,0
338,0.0,24.1,0,241,2,1,0
438,0.0,24.1,0,241,3,1,0
712,0.0,24.1,0,241,4,1,0
458,0.0,24.1,0,241,5,1,0
312,0.0,24.1,0,246,0,1,0
50,0.0,24.1,0,246,1,1,0
338,0.0,24.1,0,246,2,1,0
438,0.0,24.1,0,246,3,1,0
712,0.0,24.1,0,246,4,1,0
458,0.0,24.1,0,246,5,1,0
312,0.0,24.1,0,251,0,1,0
50,0.0,24.1,0,251,1,1,0
337,0.0,24.1,0,251,2,1,0
438,0.0,24.1,0,251,3,1,0
712,0.0,24.1,0,251,4,1,0
458,0.0,24.1,0,251,5,1,0
312,0.0,24.1,0,256,0,1,0
50,0.0,24.1,0,256,1,1,0
337,0.0,24.1,0,256,2,1,0
438,0.0,24.1,0,256,3,1,0
712,0.0,24.1,0,256,4,1,0
458,0.0,24.1,0,256,5,1,0
312,0.0,24.1,0,261,0,1,0
50,0.0,24.1,0,261,1,1,0
337,0.0,24.1,0,261,2,1,0
437,0.0,24.1,0,261,3,1,0
712,0.0,24.1,0,261,4,1,0
458,0.0,24.1,0,261,5,1,0
312,0.0,24.1,0,266,0,1,0
50,0.0,24.1,0,266,1,1,0
337,0.0,24.1,0,266,2,1,0
437,0.0,24.1,0,266,3,1,0
712,0.0,24.1,0,266,4,1,0
458,0.0,24.1,0,266,5,1,0
311,0.0,24.1,0,271,0,1,0
50,0.0,24.1,0,271,1,1,0
337,0.0,24.1,0,271,2,1,0
438,0.0,24.1,0,271,3,1,0
712,0.0,24.1,0,271,4,1,0
458,0.0,24.1,0,271,5,1,0
311,0.0,24.1,0,276,0,1,0
50,0.0,24.1,0,276,1,1,0
337,0.0,24.1,0,276,2,1,0
438,0.0,24.1,0,276,3,1,0
712,0.0,24.1,0,276,4,1,0
458,0.0,24.1,0,276,5,1,0
311,0.0,24.1,0,281,0,1,0
50,0.0,24.1,0,281,1,1,0
337,0.0,24.1,0,281,2,1,0
438,0.0,24.1,0,281,3,1,0
712,0.0,24.1,0,281,4,1,0
457,0.0,24.1,0,281,5,1,0
311,0.0,24.1,0,286,0,1,0
50,0.0,24.1,0,286,1,1,0
337,0.0,24.1,0,286,2,1,0
439,0.0,24.1,0,286,3,1,0
712,0.0,24.1,0,286,4,1,0
457,0.0,24.1,0,286,5,1,0
313,0.0,24.1,0,291,0,1,0
49,0.0,24.1,0,291,1,1,0
336,0.0,24.1,0,291,2,1,0
439,0.0,24.1,0,291,3,1,0
712,0.0,24.1,0,291,4,1,0
458,0.0,24.1,0,291,5,1,0
313,0.0,24.1,0,296,0,1,0
49,0.0,24.1,0,296,1,1,0
336,0.0,24.1,0,296,2,1,0
439,0.0,24.1,0,296,3,1,0
713,0.0,24.1,0,296,4,1,0
458,0.0,24.1,0,296,5,1,0
313,0.0,24.1,0,301,0,1,0
49,0.0,24.1,0,301,1,1,0
337,0.0,24.1,0,301,2,1,0
440,0.0,24.1,0,301,3,1,0
713,0.0,24.1,0,301,4,1,0
458,0.0,24.1,0,301,5,1,0
314,0.0,24.1,0,306,0,1,0
49,0.0,24.1,0,306,1,1,0
337,0.0,24.1,0,306,2,1,0
440,0.0,24.1,0,306,3,1,0
713,0.0,24.1,0,306,4,1,0
458,0.0,24.1,0,306,5,1,0
314,0.0,24.1,0,311,0,1,0
49,0.0,24.1,0,311,1,1,0
337,0.0,24.1,0,311,2,1,0
440,0.0,24.1,0,311,3,1,0
713,0.0,24.1,0,311,4,1,0
458,0.0,24.1,0,311,5,1,0
314,0.0,24.1,0,316,0,1,0
49,0.0,24.1,0,316,1,1,0
338,0.0,24.1,0,316,2,1,0
442,0.0,24.1,0,316,3,1,0
713,0.0,24.1,0,316,4,1,0
458,0.0,24.1,0,316,5,1,0
314,0.0,24.1,0,321,0,1,0
49,0.0,24.1,0,321,1,1,0
338,0.0,24.1,0,321,2,1,0
442,0.0,24.1,0,321,3,1,0
713,0.0,24.1,0,321,4,1,0
458,0.0,24.1,0,321,5,1,0
313,0.0,24.1,0,327,0,1,0
51,0.0,24.1,0,327,1,1,0
338,0.0,24.1,0,327,2,1,0
442,0.0,24.1,0,327,3,1,0
713,0.0,24.1,0,327,4,1,0
458,0.0,24.1,0,327,5,1,0
314,0.0,24.1,0,331,0,1,0
50,0.0,24.1,0,331,1,1,0
338,0.0,24.1,0,331,2,1,0
442,0.0,24.1,0,331,3,1,0
713,0.0,24.1,0,331,4,1,0
458,0.0,24.1,0,331,5,1,0
314,0.0,24.1,0,336,0,1,0
50,0.0,24.1,0,336,1,1,0
338,0.0,24.1,0,336,2,1,0
443,0.0,24.1,0,336,3,1,0
713,0.0,24.1,0,336,4,1,0
458,0.0,24.1,0,336,5,1,0
314,0.0,24.1,0,342,0,1,0
51,0.0,24.1,0,342,1,1,0
338,0.0,24.1,0,342,2,1,0
443,0.0,24.1,0,342,3,1,0
713,0.0,24.1,0,342,4,1,0
457,0.0,24.1,0,342,5,1,0
315,0.0,24.1,0,347,0,1,0
51,0.0,24.1,0,347,1,1,0
337,0.0,24.1,0,347,2,1,0
444,0.0,24.1,0,347,3,1,0
713,0.0,24.1,0,347,4,1,0
455,0.0,24.1,0,347,5,1,0
314,0.0,24.1,0,351,0,1,0
53,0.0,24.1,0,351,1,1,0
338,0.0,24.1,0,351,2,1,0
443,0.0,24.1,0,351,3,1,0
713,0.0,24.1,0,351,4,1,0
453,0.0,24.1,0,351,5,1,0
311,0.0,24.1,0,356,0,1,0
53,0.0,24.1,0,356,1,1,0
337,0.0,24.1,0,356,2,1,0
440,0.0,24.1,0,356,3,1,0
713,0.0,24.1,0,356,4,1,0
451,0.0,24.1,0,356,5,1,0
308,0.0,25.9,0,362,0,1,1
52,0.0,25.9,0,362,1,1,1
336,0.0,25.9,0,362,2,1,1
436,0.0,25.9,0,362,3,1,1
713,0.0,25.9,0,362,4,1,1
446,0.0,25.9,0,362,5,1,1
306,0.0,25.9,0,367,0,1,1
52,0.0,25.9,0,367,1,1,1
335,0.0,25.9,0,367,2,1,1
435,0.0,25.9,0,367,3,1,1
713,0.0,25.9,0,367,4,1,1
442,0.0,25.9,0,367,5,1,1
301,0.0,25.9,0,372,0,1,1
54,0.0,25.9,0,372,1,1,1
336,0.0,25.9,0,372,2,1,1
431,0.0,25.9,0,372,3,1,1
712,0.0,25.9,0,372,4,1,1
442,0.0,25.9,0,372,5,1,1
298,0.0,25.9,0,377,0,1,1
56,0.0,25.9,0,377,1,1,1
335,0.0,25.9,0,377,2,1,1
